979,"Cortiça e Produtos de Cortiça",,0
980,Cristais,,0
981,"Dentistas - Art e Equip - Conserto e Vendas",,0
984,"Farinhas - Atac e Fab",,0
989,"Feltro e Produtos de Feltro",,0
990,"Fibra e Produtos de Fibra",,0
991,Gaiolas,,0
992,Guaraná,,0
994,"Hotéis e Motéis - Art e Equip",,0
995,"Importação e Exportação",,0
996,"Importação e Exportação - Assessoria",,0
997,"Importados - Prod",,0
998,Laticínios,,0
999,"Limpeza e Conservação - Máq e Prod",,0
1000,Lubrificantes,,0
1001,"Massas Alimentícias",,0
1002,"Medicina - Art",,0
1003,"Mercados Municipais",,0
1004,"Mineração - Equip e Prod",,0
1005,Moinhos,,0
1006,"Óticas - Art e Equip",,0
1007,"Padarias e Confeitarias",,0
1008,"Padarias e Confeitarias 24h (Internet)",,0
1009,Pamonharias,,0
1011,"Papelarias - Atac",,0
1013,"Pet Shops",,0
1014,"Petróleo - Equip e Prod para Extração e Pesquisa",,0
1016,"Polimento - Prod",,0
1017,Polpas,,0
1019,"Produtos Alimentícios",,0
1020,"Produtos Alimentícios - Equip e Prod para Fab",,0
1024,"Produtos Esotéricos e Místicos",,0
1025,"Produtos Farmacêuticos - Atac e Fab",,0
1026,"Produtos Farmacêuticos - Distr",,0
1027,"Produtos Farmacêuticos - Equip e Prod para Fab",,0
1028,"Produtos Industriais - Representações",,0
1029,"Produtos Magnéticos",,0
1031,"Produtos Orgânicos",,0
1032,"Produtos para Alérgicos",,0
1034,"Produtos Perecíveis - Análise e Registro",,0
1035,"Produtos Petroquímicos",,0
1036,"Produtos Químicos - Atac e Fab",,0
1037,"Produtos Químicos - Distr",,0
1038,"Produtos Regionais",,0
1039,"Produtos Veterinários",,0
1040,Químicos,,0
1041,Rações,,0
1042,"Representantes de Produtos Extrativos",,0
1043,Resinas,,0
1044,Sal,,0
1045,"Sex Shops",,0
1046,Solventes,,0
1047,Supermercados,,0
1049,"Transporte de Produtos e Resíduos Químicos",,0
1051,"Água - Análises",,0
1052,"Água - Equip para Purificação",,0
1055,"Água - Licença para Exploração",,0
1056,"Água - Tratamento",,0
1059,"Bebidas - Atac e Fab",,0
1060,"Bebidas - Depósitos e Distribuidores",,0
1061,"Bebidas - Importadores",,0
1067,Filtros,,0
1068,"Filtros de Água",,0
1069,Hidrojateamento,,0
1071,Impermeabilizantes,,0
1073,"Materiais Hidráulicos",,0
1074,"Pedras Preciosas e Semi-Preciosas",,0
1075,Perfurações,,0
1080,Bebedouros,,0
1084,"Carvão e Derivados",,0
1085,"Engenheiros de Minas",,0
1087,"Suplementos Minerais",,0
1091,"Controles e Sistemas de Controle",,0
1092,"Equipamentos de Segurança Industrial",,0
1095,"Intercomunicação - Sistemas",,0
1096,"Monitoramento de Alarmes",,0
1101,Sirenes,,0
1102,"Televisão - Circuito Fechado",,0
1103,Vigilância,,0
1108,Anodização,,0
1114,"Clínicas de Reabilitação",,0
1117,"Clínicas Veterinárias",,0
1118,Cromagem,,0
1119,Cromo-Duro,,0
1121,"Dentistas - Laserterapia",,0
1122,"Dentistas - Odontogeriatria",,0
1123,"Dentistas - Tratamento do Hálito",,0
1125,"Design Gráfico",,0
1127,"Engenharia Ambiental",,0
1129,Esmaltação,,0
1132,"Fornos Industriais",,0
1134,"Galvanoplastia - Art e Equip",,0
1136,Insonorização,,0
1138,"Lixo e Resíduos Hospitalares - Coleta e Tratamento",,0
1139,"Lixo e Resíduos Industriais - Coleta e Tratamento",,0
1146,Musicoterapeutas,,0
1150,Podólogos,,0
1151,"Poluição - Equip e Projetos Contra",,0
1156,Saneamento,,0
1159,"Tratamento Térmico",,0
1160,"Tratamentos de Superfície",,0
1161,Veterinários,,0
1163,Alumínio,,0
1166,"Poços Artesianos - Construtores",,0
1167,Mineração,,0
1168,Geólogos,,0
1169,"Aquários - Peixes Ornam. e Art para Criadores",,0
1170,"Animais - Criação e Vendas",,0
1171,Estacas,,0
1172,"Fundações para Construções",,0
1173,"Máquinas e Equipamentos - Aluguel e Arrendamento",,0
1174,Andaimes,,0
1175,"Hotéis para Animais",,0
1176,Canis,,0
1177,"Clínicas Veterinárias 24h",,0
1178,Bombas,,0
1179,"Tambores e Tonéis",,0
1180,"Pontes Rolantes",,0
1181,"Sacos de Algodão e Aniagem",,0
1182,"Papel Velho;  Aparas e Resíduos",,0
1183,"Compensados e Laminados",,0
1184,"Troféus e Taças",,0
1185,Policarbonato,,0
1186,"Clínicas de Fisioterapia",,0
1187,Mármore,,0
1188,"Painéis Elétricos e Eletrônicos",,0
1189,"Isolamento Térmico",,0
1190,"Móveis Estofados - Limpeza e Impermeabilização",,0
1191,"Extintores de Incêndio",,0
1192,"Máquinas Pneumáticas",,0
1193,"Esportes - Art e Equip - Lojas",,0
1194,"Armas e Munições",,0
1195,"Elevadores de Obras e Industriais",,0
1196,"Compactação de Solo - Equip e Máq",,0
1197,Jateamento,,0
1198,"Escoramento - Empresas",,0
1199,Tratores,,0
1200,"Porteiros Eletrônicos",,0
1201,Churrasqueiras,,0
1202,"Ar Comprimido - Equip",,0
1203,Escavadeiras,,0
1204,Ferramentas,,0
1205,Ferramentarias,,0
1206,Chumbadores,,0
1207,Incineradores,,0
1208,Caçambas,,0
1209,Telas,,0
